bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_094,41.209265,1.585022,AP-7,Endesa,450,Congested
FRIC_095,41.286574,1.999499,AP-7,Endesa,450,Congested
FRIC_096,41.584414,2.299046,AP-7,Endesa,450,Congested
FRIC_097,41.769364,2.694706,AP-7,Endesa,450,Congested
FRIC_098,42.078843,2.889763,AP-7,Endesa,450,Congested
FRIC_099,42.327615,3.08929,AP-7,Endesa,450,Congested
FRIC_100,41.131126,-3.583895,A-1,Naturgy,900,Congested
FRIC_101,41.44781,-3.678215,A-1,Naturgy,900,Congested
FRIC_102,41.629585,-3.686962,A-1,Naturgy,900,Congested
FRIC_103,42.017906,-3.757194,A-1,Viesgo,900,Congested
FRIC_104,42.338825,-3.611723,A-1,Viesgo,900,Congested
FRIC_105,42.637897,-3.215517,A-1,Viesgo,900,Congested
FRIC_106,42.783056,-2.823548,A-1,i-DE,900,Moderate
FRIC_107,42.863879,-2.325762,A-1,i-DE,900,Moderate
FRIC_108,42.923371,-2.002916,A-10,i-DE,900,Moderate
FRIC_109,41.61483,-4.18787,A-11,Naturgy,750,Congested
FRIC_110,41.63833,-3.63285,A-11,Naturgy,750,Congested
FRIC_111,41.58782,-3.07175,A-11,Endesa,750,Congested
FRIC_112,42.416757,-2.666545,A-12,i-DE,600,Moderate
FRIC_113,42.475605,-2.338393,A-12,i-DE,600,Moderate
FRIC_114,42.677617,-1.897486,A-12,i-DE,600,Moderate
FRIC_115,42.678193,-1.456743,A-12,i-DE,600,Moderate
FRIC_116,41.162318,-2.417244,A-15,Endesa,300,Congested
FRIC_117,42.5204,-1.663028,A-15,i-DE,300,Moderate
FRIC_118,42.861608,-1.74497,A-15,i-DE,300,Moderate
FRIC_119,42.786752,-1.657225,A-15,i-DE,300,Moderate
FRIC_120,42.067981,-0.059927,A-22,Endesa,750,Congested
FRIC_121,41.833014,0.305313,A-22,Endesa,750,Congested
FRIC_122,40.086791,-0.72853,A-23,Endesa,450,Congested
FRIC_123,40.356862,-1.108635,A-23,Endesa,450,Congested
FRIC_124,40.671393,-1.105309,A-23,Endesa,450,Congested
FRIC_125,40.913835,-1.276791,A-23,Endesa,450,Congested
FRIC_126,41.215109,-1.248714,A-23,Endesa,450,Congested
FRIC_127,41.503193,-1.052699,A-23,Endesa,450,Congested
FRIC_128,41.869106,-0.79929,A-23,Endesa,450,Congested
FRIC_129,42.060572,-0.451227,A-23,Endesa,450,Congested
FRIC_130,42.408825,-0.387488,A-23,Endesa,450,Congested
FRIC_131,38.0953,-3.14225,A-32,Endesa,1050,Congested
FRIC_132,39.65568,-3.657876,A-40,Endesa,900,Congested
FRIC_133,39.226155,-3.770884,A-40,Naturgy,600,Moderate
FRIC_134,40.10046,-3.703731,A-42,Viesgo,2550,Congested
FRIC_135,39.002986,-3.779887,A-43,Naturgy,300,Moderate
FRIC_136,39.016484,-3.338517,A-43,Endesa,300,Congested
FRIC_137,39.16766,-2.821293,A-43,Endesa,300,Congested
FRIC_138,39.328925,-2.459358,A-43,Endesa,300,Congested
FRIC_139,37.785356,-3.783549,A-44,Endesa,600,Congested
FRIC_140,37.59428,-3.686322,A-44,Endesa,600,Congested
FRIC_141,37.289207,-3.658251,A-44,Endesa,600,Congested
FRIC_142,36.960972,-3.54777,A-44,Endesa,600,Congested
FRIC_143,36.73615,-3.443702,A-44,Endesa,600,Congested
FRIC_144,37.462044,-4.578141,A-45,Endesa,750,Congested
