location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,data_quality,daily_sessions_p80,daily_sessions_avg,utilization_pct,util_peak_hour_pct,chargers_floor,chargers_demand_p80,chargers_peak_hr,cost_eur,fin_revenue_yr,fin_ebitda_yr,fin_ebitda_margin,fin_net_capex,fin_payback_yrs,fin_npv_10yr,is_tent
IBE_212,37.361072,-6.274623,A-49,4,Congested,unknown,133,112,59.0,87.6,2,3,4,277000,213394,71328,33.4,193900,2.7,307078,False
IBE_213,40.213387,-4.095692,A-5,5,Moderate,measured,153,134,54.3,80.6,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_214,40.047193,-4.39255,A-5,5,Moderate,measured,153,134,54.3,80.6,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_215,39.958875,-4.825188,A-5,5,Moderate,measured,153,134,54.3,80.6,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_216,39.706008,-5.075157,A-5,5,Congested,unknown,153,134,54.3,80.6,2,3,5,370000,266742,92070,34.5,259000,2.8,387661,False
IBE_217,39.440248,-5.273793,A-5,5,Sufficient,measured,153,134,54.3,80.6,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_218,39.337043,-5.457507,A-5,5,Sufficient,measured,153,134,54.3,80.6,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_219,39.168252,-5.883492,A-5,5,Congested,unknown,153,134,54.3,80.6,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,False
IBE_220,38.937315,-6.302692,A-5,5,Congested,unknown,153,134,54.3,80.6,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,False
IBE_221,38.866597,-6.798955,A-5,5,Congested,unknown,153,134,54.3,80.6,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,False
IBE_222,41.31275,-4.30481,A-50,4,Congested,measured,110,93,48.8,72.4,2,2,4,277000,213394,71328,33.4,193900,2.7,307078,False
IBE_223,41.53558,-4.65177,A-50,4,Sufficient,measured,110,93,48.8,72.4,2,2,4,157000,213394,71328,33.4,109900,1.5,391078,False
IBE_224,42.310262,-8.16887,A-52,4,Moderate,measured,115,97,51.0,75.7,2,3,4,157000,213394,71328,33.4,109900,1.5,391078,False
IBE_225,42.345134,-7.878304,A-52,4,Moderate,measured,115,97,51.0,75.7,2,3,4,157000,213394,71328,33.4,109900,1.5,391078,False
IBE_226,42.062157,-7.680281,A-52,4,Moderate,measured,115,97,51.0,75.7,2,3,4,157000,213394,71328,33.4,109900,1.5,391078,False
IBE_227,41.989127,-7.244194,A-52,4,Moderate,measured,115,97,51.0,75.7,2,3,4,157000,213394,71328,33.4,109900,1.5,391078,False
IBE_228,42.040882,-6.709394,A-52,4,Sufficient,measured,115,97,51.0,75.7,2,3,4,222000,213394,71328,33.4,155400,2.2,345578,False
IBE_229,42.008749,-6.130735,A-52,4,Moderate,measured,115,97,51.0,75.7,2,3,4,222000,213394,71328,33.4,155400,2.2,345578,False
IBE_230,42.176077,-8.624432,A-55,7,Sufficient,measured,232,196,58.8,87.3,2,5,7,241000,373439,133554,35.8,168700,1.3,769327,False
IBE_231,43.457483,-5.508706,A-64,7,Congested,measured,208,176,52.7,78.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_232,37.743476,-5.935056,A-66,3,Congested,unknown,90,76,53.3,79.0,2,2,3,314000,160045,50586,31.6,219800,4.3,135495,False
IBE_233,38.173186,-6.193805,A-66,3,Congested,unknown,90,76,53.3,79.0,2,2,3,314000,160045,50586,31.6,219800,4.3,135495,False
IBE_234,38.478288,-6.359,A-66,3,Congested,unknown,90,76,53.3,79.0,2,2,3,314000,160045,50586,31.6,219800,4.3,135495,False
IBE_235,38.930892,-6.337579,A-66,3,Congested,unknown,90,76,53.3,79.0,2,2,3,249000,160045,50586,31.6,174300,3.4,180995,False
IBE_236,39.257255,-6.111739,A-66,3,Congested,unknown,90,76,53.3,79.0,2,2,3,249000,160045,50586,31.6,174300,3.4,180995,False
IBE_237,39.566324,-5.833642,A-66,3,Sufficient,measured,90,76,53.3,79.0,2,2,3,129000,160045,50586,31.6,90300,1.8,264995,False
IBE_238,39.756413,-6.004297,A-66,3,Sufficient,measured,90,76,53.3,79.0,2,2,3,129000,160045,50586,31.6,90300,1.8,264995,False
IBE_239,40.04657,-5.954996,A-66,3,Sufficient,measured,90,76,53.3,79.0,2,2,3,194000,160045,50586,31.6,135800,2.7,219495,False
IBE_240,40.080954,-6.08392,A-66,3,Sufficient,measured,90,76,53.3,79.0,2,2,3,129000,160045,50586,31.6,90300,1.8,264995,False
IBE_241,40.416389,-5.781486,A-66,3,Sufficient,measured,90,76,53.3,79.0,2,2,3,129000,160045,50586,31.6,90300,1.8,264995,False
